Accessionid,title,extra,gi,createdate,updatedate,flags,taxid,slen,biomol,moltype,topology,sourcedb,segsetsize,projectid,genome,subtype,subname,assemblygi,assemblyacc,tech,completeness,geneticcode,strand,organism,strain,biosample
LC756954,"Homo sapiens APP mRNA for amyloid beta precursor protein, complete cds",gi|2461860531|dbj|LC756954.1|,2461860531,18/03/2023,18/03/2023,0,9606,2313,mRNA,rna,linear,insd,0,0,,strain|country|collection_date,A/02/2023|China|2022-02-11,0,,,,1,,Homo sapiens,A/02/2023,
LC756953,"Homo sapiens PSEN1 mRNA for presenilin 1, complete cds",gi|2461860529|dbj|LC756953.1|,2461860529,18/03/2023,18/03/2023,0,9606,1404,mRNA,rna,linear,insd,0,0,,isolate|chromosome|map|cell_line|cell_type|country|collection_date,proband 3|14|14q73-q74|lzj7|leukocyte|China|2022-02-10,0,,,,1,,Homo sapiens,,
AB092593,"Mus musculus domesticus mitochondrial DNA, complete genome, strain:C57BL/10ScSn-mdx",gi|2461860460|dbj|AB092593.1|,2461860460,18/03/2023,18/03/2023,256,10092,16300,genomic,dna,circular,insd,0,0,mitochondrion,strain|sub_species|sex,C57BL/10ScSn-mdx|domesticus|male,0,,,complete,1,,Mus musculus domesticus,C57BL/10ScSn-mdx,
AB092592,"Mus musculus domesticus mitochondrial DNA, complete genome, strain:C57BL/6J",gi|2461860446|dbj|AB092592.1|,2461860446,18/03/2023,18/03/2023,256,10092,16299,genomic,dna,circular,insd,0,0,mitochondrion,strain|sub_species|sex,C57BL/6J|domesticus|male,0,,,complete,1,,Mus musculus domesticus,C57BL/6J,
XR_004745086,"PREDICTED: Callithrix jacchus small nucleolar RNA U3 (LOC118154825), ncRNA",gi|2461858068|ref|XR_004745086.2|,2461858068,03/07/2020,18/03/2023,512,9483,209,ncRNA|snoRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745414,"PREDICTED: Callithrix jacchus U2 spliceosomal RNA (LOC118155205), ncRNA",gi|2461858067|ref|XR_004745414.2|,2461858067,03/07/2020,18/03/2023,512,9483,196,ncRNA|snRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745405,"PREDICTED: Callithrix jacchus small nucleolar RNA U109 (LOC118155194), ncRNA",gi|2461858066|ref|XR_004745405.2|,2461858066,03/07/2020,18/03/2023,512,9483,140,ncRNA|snoRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745400,"PREDICTED: Callithrix jacchus small nucleolar RNA U13 (LOC118155185), ncRNA",gi|2461858065|ref|XR_004745400.2|,2461858065,03/07/2020,18/03/2023,512,9483,102,ncRNA|snoRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745396,"PREDICTED: Callithrix jacchus small nucleolar RNA U13 (LOC118155179), ncRNA",gi|2461858064|ref|XR_004745396.2|,2461858064,03/07/2020,18/03/2023,512,9483,102,ncRNA|snoRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745381,"PREDICTED: Callithrix jacchus U1 spliceosomal RNA (LOC118155162), ncRNA",gi|2461858063|ref|XR_004745381.2|,2461858063,03/07/2020,18/03/2023,512,9483,162,ncRNA|snRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745383,"PREDICTED: Callithrix jacchus small nucleolar RNA U13 (LOC118155164), ncRNA",gi|2461858062|ref|XR_004745383.2|,2461858062,03/07/2020,18/03/2023,512,9483,104,ncRNA|snoRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745375,"PREDICTED: Callithrix jacchus small nucleolar RNA SNORD108 (LOC118155155), ncRNA",gi|2461858061|ref|XR_004745375.2|,2461858061,03/07/2020,18/03/2023,512,9483,59,ncRNA|snoRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_008482427,"PREDICTED: Callithrix jacchus small nucleolar RNA SNORA43 (LOC128932521), ncRNA",gi|2461858060|ref|XR_008482427.1|,2461858060,18/03/2023,18/03/2023,512,9483,134,ncRNA|snoRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745343,"PREDICTED: Callithrix jacchus small nucleolar RNA SNORD74 (LOC118155120), ncRNA",gi|2461858059|ref|XR_004745343.2|,2461858059,03/07/2020,18/03/2023,512,9483,80,ncRNA|snoRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745336,"PREDICTED: Callithrix jacchus small nucleolar RNA SNORA70 (LOC118155113), ncRNA",gi|2461858058|ref|XR_004745336.2|,2461858058,03/07/2020,18/03/2023,512,9483,135,ncRNA|snoRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745335,"PREDICTED: Callithrix jacchus small nucleolar RNA SNORA72 (LOC118155112), ncRNA",gi|2461858057|ref|XR_004745335.2|,2461858057,03/07/2020,18/03/2023,512,9483,131,ncRNA|snoRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745324,"PREDICTED: Callithrix jacchus U1 spliceosomal RNA (LOC118155097), ncRNA",gi|2461858056|ref|XR_004745324.2|,2461858056,03/07/2020,18/03/2023,512,9483,164,ncRNA|snRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745325,"PREDICTED: Callithrix jacchus small nucleolar RNA SNORD116 (LOC118155099), ncRNA",gi|2461858055|ref|XR_004745325.2|,2461858055,03/07/2020,18/03/2023,512,9483,96,ncRNA|snoRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_008482426,"PREDICTED: Callithrix jacchus small nucleolar RNA SNORD116 (LOC128932520), ncRNA",gi|2461858054|ref|XR_008482426.1|,2461858054,18/03/2023,18/03/2023,512,9483,95,ncRNA|snoRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745302,"PREDICTED: Callithrix jacchus small nucleolar RNA SNORD116 (LOC118155072), ncRNA",gi|2461858053|ref|XR_004745302.2|,2461858053,03/07/2020,18/03/2023,512,9483,95,ncRNA|snoRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745312,"PREDICTED: Callithrix jacchus small nucleolar RNA SNORD116 (LOC118155082), ncRNA",gi|2461858052|ref|XR_004745312.2|,2461858052,03/07/2020,18/03/2023,512,9483,95,ncRNA|snoRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745301,"PREDICTED: Callithrix jacchus small nucleolar RNA SNORD116 (LOC118155071), ncRNA",gi|2461858051|ref|XR_004745301.2|,2461858051,03/07/2020,18/03/2023,512,9483,95,ncRNA|snoRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745308,"PREDICTED: Callithrix jacchus small nucleolar RNA SNORD116 (LOC118155078), ncRNA",gi|2461858050|ref|XR_004745308.2|,2461858050,03/07/2020,18/03/2023,512,9483,95,ncRNA|snoRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745293,"PREDICTED: Callithrix jacchus small nucleolar RNA SNORD116 (LOC118155063), ncRNA",gi|2461858049|ref|XR_004745293.2|,2461858049,03/07/2020,18/03/2023,512,9483,94,ncRNA|snoRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745294,"PREDICTED: Callithrix jacchus U1 spliceosomal RNA (LOC118155064), ncRNA",gi|2461858048|ref|XR_004745294.2|,2461858048,03/07/2020,18/03/2023,512,9483,164,ncRNA|snRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745299,"PREDICTED: Callithrix jacchus small nucleolar RNA SNORD116 (LOC118155069), ncRNA",gi|2461858047|ref|XR_004745299.2|,2461858047,03/07/2020,18/03/2023,512,9483,94,ncRNA|snoRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745292,"PREDICTED: Callithrix jacchus small nucleolar RNA SNORD116 (LOC118155062), ncRNA",gi|2461858046|ref|XR_004745292.2|,2461858046,03/07/2020,18/03/2023,512,9483,92,ncRNA|snoRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745291,"PREDICTED: Callithrix jacchus small nucleolar RNA SNORD116 (LOC118155061), ncRNA",gi|2461858045|ref|XR_004745291.2|,2461858045,03/07/2020,18/03/2023,512,9483,92,ncRNA|snoRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745285,"PREDICTED: Callithrix jacchus small nucleolar RNA SNORD116 (LOC118155055), ncRNA",gi|2461858044|ref|XR_004745285.2|,2461858044,03/07/2020,18/03/2023,512,9483,92,ncRNA|snoRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745279,"PREDICTED: Callithrix jacchus small nucleolar RNA SNORD115 (LOC118155042), ncRNA",gi|2461858043|ref|XR_004745279.2|,2461858043,03/07/2020,18/03/2023,512,9483,82,ncRNA|snoRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745282,"PREDICTED: Callithrix jacchus small nucleolar RNA SNORD115 (LOC118155045), ncRNA",gi|2461858042|ref|XR_004745282.2|,2461858042,03/07/2020,18/03/2023,512,9483,82,ncRNA|snoRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745277,"PREDICTED: Callithrix jacchus small nucleolar RNA SNORD115 (LOC118155040), ncRNA",gi|2461858041|ref|XR_004745277.2|,2461858041,03/07/2020,18/03/2023,512,9483,82,ncRNA|snoRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745274,"PREDICTED: Callithrix jacchus small nucleolar RNA SNORD115 (LOC118155037), ncRNA",gi|2461858040|ref|XR_004745274.2|,2461858040,03/07/2020,18/03/2023,512,9483,82,ncRNA|snoRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745276,"PREDICTED: Callithrix jacchus small nucleolar RNA SNORD115 (LOC118155039), ncRNA",gi|2461858039|ref|XR_004745276.2|,2461858039,03/07/2020,18/03/2023,512,9483,82,ncRNA|snoRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745260,"PREDICTED: Callithrix jacchus small nucleolar RNA SNORD115 (LOC118155022), ncRNA",gi|2461858038|ref|XR_004745260.2|,2461858038,03/07/2020,18/03/2023,512,9483,82,ncRNA|snoRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745254,"PREDICTED: Callithrix jacchus small nucleolar RNA SNORD115 (LOC118155016), ncRNA",gi|2461858037|ref|XR_004745254.2|,2461858037,03/07/2020,18/03/2023,512,9483,82,ncRNA|snoRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745189,"PREDICTED: Callithrix jacchus U6 spliceosomal RNA (LOC118154937), ncRNA",gi|2461858036|ref|XR_004745189.2|,2461858036,03/07/2020,18/03/2023,512,9483,108,ncRNA|snRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745175,"PREDICTED: Callithrix jacchus U6 spliceosomal RNA (LOC118154921), ncRNA",gi|2461858035|ref|XR_004745175.2|,2461858035,03/07/2020,18/03/2023,512,9483,112,ncRNA|snRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745165,"PREDICTED: Callithrix jacchus U6 spliceosomal RNA (LOC118154911), ncRNA",gi|2461858034|ref|XR_004745165.2|,2461858034,03/07/2020,18/03/2023,512,9483,107,ncRNA|snRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745153,"PREDICTED: Callithrix jacchus U6 spliceosomal RNA (LOC118154901), ncRNA",gi|2461858033|ref|XR_004745153.2|,2461858033,03/07/2020,18/03/2023,512,9483,107,ncRNA|snRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745144,"PREDICTED: Callithrix jacchus U6 spliceosomal RNA (LOC118154894), ncRNA",gi|2461858032|ref|XR_004745144.2|,2461858032,03/07/2020,18/03/2023,512,9483,109,ncRNA|snRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745150,"PREDICTED: Callithrix jacchus U6 spliceosomal RNA (LOC118154899), ncRNA",gi|2461858031|ref|XR_004745150.2|,2461858031,03/07/2020,18/03/2023,512,9483,103,ncRNA|snRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_008482424,"PREDICTED: Callithrix jacchus U6 spliceosomal RNA (LOC128932518), ncRNA",gi|2461858030|ref|XR_008482424.1|,2461858030,18/03/2023,18/03/2023,512,9483,106,ncRNA|snRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745123,"PREDICTED: Callithrix jacchus U6 spliceosomal RNA (LOC118154872), ncRNA",gi|2461858029|ref|XR_004745123.2|,2461858029,03/07/2020,18/03/2023,512,9483,107,ncRNA|snRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745135,"PREDICTED: Callithrix jacchus U6 spliceosomal RNA (LOC118154885), ncRNA",gi|2461858028|ref|XR_004745135.2|,2461858028,03/07/2020,18/03/2023,512,9483,107,ncRNA|snRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745128,"PREDICTED: Callithrix jacchus U6 spliceosomal RNA (LOC118154878), ncRNA",gi|2461858027|ref|XR_004745128.2|,2461858027,03/07/2020,18/03/2023,512,9483,107,ncRNA|snRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745124,"PREDICTED: Callithrix jacchus U6 spliceosomal RNA (LOC118154873), ncRNA",gi|2461858026|ref|XR_004745124.2|,2461858026,03/07/2020,18/03/2023,512,9483,107,ncRNA|snRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004745121,"PREDICTED: Callithrix jacchus U6 spliceosomal RNA (LOC118154869), ncRNA",gi|2461858025|ref|XR_004745121.2|,2461858025,03/07/2020,18/03/2023,512,9483,107,ncRNA|snRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
